+------+----------------+-----------------+------------------------------------------+-----------+--------------------+-------+
| Rank |      Word      | Lemmatized Form |                 POS Tag                  | NER Label |    % Occurrence    | Count |
|  70  |    chatbots    |    chatbots     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  71  |    services    |     service     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  72  |    Advances    |    Advances     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  73  |      deep      |      deep       |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  74  |    learning    |    learning     |                   Verb                   |    N/A    | 16.666666666666664 |   1   |
|  75  |     neural     |     neural      |                Adjective                 |    N/A    | 16.666666666666664 |   1   |
|  76  |    networks    |     network     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  77  |      have      |      have       |                   Verb                   |    N/A    | 16.666666666666664 |   1   |
|  78  | significantly  |  significantly  |                  Adverb                  |    N/A    | 16.666666666666664 |   1   |
|  79  |    enhanced    |    enhanced     |                   Verb                   |    N/A    | 16.666666666666664 |   1   |
|  80  |    accuracy    |    accuracy     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  81  |  capabilities  |   capability    |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  82  |    systems     |     system      |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  83  |     making     |     making      |                   Verb                   |    N/A    | 16.666666666666664 |   1   |
|  84  |      them      |      them       |                 Pronoun                  |    N/A    | 16.666666666666664 |   1   |
|  85  |    integral    |    integral     |                Adjective                 |    N/A    | 16.666666666666664 |   1   |
|  86  |    various     |     various     |                Adjective                 |    N/A    | 16.666666666666664 |   1   |
|  87  |   industries   |    industry     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  88  |   including    |    including    |                   Verb                   |    N/A    | 16.666666666666664 |   1   |
|  89  |   healthcare   |   healthcare    |                   Noun                   |    ORG    | 16.666666666666664 |   1   |
|  90  |    finance     |     finance     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  91  |    customer    |    customer     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
|  92  |    service     |     service     |                   Noun                   |    N/A    | 16.666666666666664 |   1   |
+------+----------------+-----------------+------------------------------------------+-----------+--------------------+-------+
